Soda Name,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient
Coca-Cola Soda Pop Classic -,Coca-Cola Soda Pop Classic -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavor,Caffeine,,,,,,,,,,,,,,,,,
Diet Coke Soda Pop Cola,Diet Coke Soda Pop Cola,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Benzoate,Natural Flavor,Citric Acid,Caffeine,,,,,,,,,,,,,,,
Pepsi Soda Cola -,Pepsi Soda Cola -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Sugar,Phosphoric Acid,Caffeine,Citric Acid,Natural Flavor,,,,,,,,,,,,,,,
Diet Coke Soda Pop Cola Caffeine Free -,Diet Coke Soda Pop Cola Caffeine Free -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Benzoate,Natural Flavor,Citric Acid,,,,,,,,,,,,,,,,
Dr Pepper Diet Soda Bottle -,Dr Pepper Diet Soda Bottle -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Natural And Artificial Flavors,Sodium Benzoate,Caffeine,,,,,,,,,,,,,,,,
Pepsi Soda Diet Wild Cherry -,Pepsi Soda Diet Wild Cherry -,Carbonated Water,Caramel Color,Phosphoric Acid,Natural Flavor,Aspartame,Potassium Benzoate,Potassium Citrate,Citric Acid,Caffeine,Acesulfame Potassium,Calcium Disodium Edta,,,,,,,,,,,,
Coca-Cola Soda Pop Classic -,Coca-Cola Soda Pop Classic -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavor,Caffeine,,,,,,,,,,,,,,,,,
Fresca Soda Flavored Sparkling Sugar Free Zero Calorie Original Citrus In Can -,Fresca Soda Flavored Sparkling Sugar Free Zero Calorie Original Citrus In Can -,Carbonated Water,Citric Acid,Concentrated Grapefruit Juice,Potassium Citrate,Aspartame,Potassium Sorbate,Acacia Gum,Acesulfame Potassium,Natural Flavor,Glycerol Ester Of Rosin,Potassium Benzoate And Calcium Disodium Edta,Carob Bean Gum,,,,,,,,,,,
Coca-Cola Soda Pop Classic -,Coca-Cola Soda Pop Classic -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavor,Caffeine,,,,,,,,,,,,,,,,,
Coca-Cola Soda Pop Caffeine Free -,Coca-Cola Soda Pop Caffeine Free -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavor,,,,,,,,,,,,,,,,,,
